Date,Song ID,Song Name,Artist Name,Release Date,Genre,Stream Counts,Download Counts,Chart Positions,Social Media Mentions,Social Media Engagement,YouTube Views,Playlist Adds,Listener Age Group,Geographical Location,Listener Gender,Campaign Type,Spend,Reach,Engagement Rate
2023-11-03 03:17:39.105863,1,Echoes of Silence,Orchestra of Lights,2024-04-29 03:17:39.105863,Rock,15720,969,11,410,96727,50410,530,45-54,Germany,Female,Spotify Ads,6716,127791,2.87
2024-04-23 03:17:39.105863,8,Rhythm of the Code,Melodic Minds,2024-05-06 03:17:39.105863,Electronic,8032,710,90,2798,18179,22231,962,18-24,Germany,Male,Twitter Campaign,3978,148979,3.76
2024-07-03 03:17:39.105863,3,Bassline Rapture,Vintage Beats,2024-05-09 03:17:39.105863,Indie,9444,509,21,1290,50864,27592,196,35-44,Canada,Female,Twitter Campaign,477,92758,3.06
2025-01-09 03:17:39.105863,1,Echoes of Silence,Deep Bass Nine,2024-05-14 03:17:39.105863,Electronic,9085,316,97,1689,94105,87144,788,18-24,Brazil,Female,YouTube Ads,2901,120390,1.48
2023-11-14 03:17:39.105863,4,Nightfall Symphony,Soundwave Project,2024-05-12 03:17:39.105863,Indie,26194,681,25,796,33495,59097,210,25-34,Australia,Male,Instagram Ads,7327,42674,3.26
2024-09-03 03:17:39.105863,3,Retrograde Motion,Deep Bass Nine,2024-04-28 03:17:39.105863,Pop,9298,1803,4,2782,62652,40034,409,25-34,Brazil,Female,Instagram Ads,4266,85484,4.91
2023-12-17 03:17:39.105863,6,Nightfall Symphony,Binary Beats,2024-05-14 03:17:39.105863,Rock,12770,1987,61,621,53572,78422,987,18-24,Australia,Female,Instagram Ads,2496,165151,0.91
2025-03-24 03:17:39.105863,4,Love in the Time of Data,Future Sounds,2024-04-20 03:17:39.105863,Ambient,22918,1886,27,472,92221,15567,919,45-54,Canada,Female,Twitter Campaign,6996,178235,0.3
2023-07-29 03:17:39.105863,9,Harmonic Distortion,Phantom Harmony,2024-05-11 03:17:39.105863,Electronic,16644,902,24,1036,82215,39927,282,35-44,Canada,Other,Twitter Campaign,480,100455,2.79
2023-07-03 03:17:39.105863,1,Echoes of Tomorrow,Orchestra of Lights,2024-04-27 03:17:39.105863,Indie,7317,1656,73,107,53309,82773,724,25-34,Australia,Other,Spotify Ads,4467,145382,2.93
2023-12-02 03:17:39.105863,1,Echoes of Tomorrow,Soundwave Project,2024-04-18 03:17:39.105863,Electronic,13865,1910,91,2985,18809,32763,518,45-54,Australia,Other,Facebook Ads,5718,65582,4.33
2023-08-03 03:17:39.105863,9,Bassline Rapture,Binary Beats,2024-05-08 03:17:39.105863,Rock,12049,877,83,2514,16523,43177,293,25-34,France,Other,Twitter Campaign,934,96123,3.97
2023-11-26 03:17:39.105863,9,Digital Dreams,Deep Bass Nine,2024-04-20 03:17:39.105863,Indie,26424,463,78,2045,32380,26747,522,25-34,UK,Other,Facebook Ads,3368,120192,4.2
2024-11-08 03:17:39.105863,8,Rhythm of the Code,Melodic Minds,2024-04-24 03:17:39.105863,Pop,29419,1082,29,817,39500,5437,397,18-24,Germany,Other,Instagram Ads,7089,97950,3.16
2024-10-28 03:17:39.105863,5,Bassline Rapture,Melodic Minds,2024-04-21 03:17:39.105863,Electronic,23804,240,15,1540,97381,24031,781,25-34,Germany,Female,Instagram Ads,5751,103268,3.15
2024-10-01 03:17:39.105863,1,Rhythm of the Code,Future Sounds,2024-04-22 03:17:39.105863,Indie,6590,1477,84,1041,73378,87307,669,25-34,UK,Female,Instagram Ads,5505,38665,4.26
2023-12-02 03:17:39.105863,10,Love in the Time of Data,Deep Bass Nine,2024-04-21 03:17:39.105863,Pop,16430,1576,92,1832,38006,95949,629,35-44,Germany,Male,Twitter Campaign,4418,81992,4.39
2024-05-05 03:17:39.105863,7,Love in the Time of Data,Binary Beats,2024-04-22 03:17:39.105863,Electronic,28473,1793,49,797,36014,38487,615,45-54,Brazil,Female,Spotify Ads,3050,34244,2.73
2023-09-06 03:17:39.105863,4,Digital Dreams,Orchestra of Lights,2024-04-24 03:17:39.105863,Indie,15385,382,51,377,57745,82190,258,35-44,Australia,Male,Facebook Ads,1446,153877,0.15
2023-09-17 03:17:39.105863,4,Rhythm of the Code,Phantom Harmony,2024-04-27 03:17:39.105863,Indie,26513,1275,54,489,35981,13693,991,35-44,France,Male,YouTube Ads,5216,46513,1.49
2024-10-03 03:17:39.105863,3,Bassline Rapture,Phantom Harmony,2024-05-08 03:17:39.105863,Indie,10318,1194,80,1638,37323,38131,320,35-44,Brazil,Other,YouTube Ads,4355,95298,0.78
2024-03-04 03:17:39.105863,4,Digital Dreams,Binary Beats,2024-04-21 03:17:39.105863,Indie,28539,639,34,676,95497,71197,179,45-54,Germany,Female,Instagram Ads,2268,47628,4.11
2024-06-11 03:17:39.105863,4,Echoes of Tomorrow,Soundwave Project,2024-05-01 03:17:39.105863,Indie,24565,1139,53,1991,59787,90403,738,18-24,Australia,Other,Spotify Ads,3673,63172,3.8
2023-11-28 03:17:39.105863,5,Nightfall Symphony,Phantom Harmony,2024-04-27 03:17:39.105863,Rock,12364,256,30,2281,52310,86445,104,45-54,UK,Female,Spotify Ads,2132,179134,1.82
2023-09-22 03:17:39.105863,4,Harmonic Distortion,Future Sounds,2024-05-15 03:17:39.105863,Electronic,27293,1039,67,2129,41492,15352,206,45-54,Germany,Other,Instagram Ads,464,138633,1.35
2023-09-07 03:17:39.105863,7,Daydreamer's Tune,Binary Beats,2024-05-09 03:17:39.105863,Pop,20749,321,72,2457,99120,54411,721,25-34,France,Female,Facebook Ads,2656,181525,2.17
2024-07-25 03:17:39.105863,4,Love in the Time of Data,Orchestra of Lights,2024-04-25 03:17:39.105863,Ambient,23760,526,14,1019,21455,89160,993,45-54,Germany,Other,Instagram Ads,2722,199610,4.13
2023-10-12 03:17:39.105863,7,Bassline Rapture,Phantom Harmony,2024-05-02 03:17:39.105863,Ambient,6461,458,1,2372,60081,45845,529,25-34,France,Male,Instagram Ads,4920,104008,1.81
2024-04-03 03:17:39.105863,8,Echoes of Tomorrow,Soundwave Project,2024-04-27 03:17:39.105863,Indie,19550,1489,74,1159,68238,78886,706,45-54,Germany,Male,Twitter Campaign,2398,63017,4.92
2024-11-27 03:17:39.105863,5,Nightfall Symphony,Vintage Beats,2024-05-02 03:17:39.105863,Electronic,8203,242,53,1201,15102,44598,723,18-24,France,Other,Twitter Campaign,5745,98337,2.1
2024-06-12 03:17:39.105863,6,Love in the Time of Data,Soundwave Project,2024-04-29 03:17:39.105863,Electronic,18070,196,55,182,31154,38930,143,18-24,Canada,Male,Instagram Ads,1059,137100,2.95
2024-07-12 03:17:39.105863,9,Love in the Time of Data,Phantom Harmony,2024-05-03 03:17:39.105863,Pop,28093,1152,77,1696,38086,11516,594,25-34,Brazil,Other,Instagram Ads,6749,195718,3.61
2025-03-21 03:17:39.105863,4,Rhythm of the Code,Binary Beats,2024-04-21 03:17:39.105863,Indie,13183,1422,32,1089,93884,10091,289,35-44,Brazil,Male,Spotify Ads,6254,180338,4.39
2025-05-05 03:17:39.105863,2,Bassline Rapture,Orchestra of Lights,2024-05-01 03:17:39.105863,Ambient,19484,995,61,1783,2036,21305,543,45-54,USA,Other,YouTube Ads,5805,47296,1.1
2023-09-30 03:17:39.105863,2,Echoes of Tomorrow,Phantom Harmony,2024-04-29 03:17:39.105863,Electronic,4475,881,2,1428,73417,95775,810,35-44,USA,Female,YouTube Ads,1222,102591,1.99
2023-09-01 03:17:39.105863,8,Rhythm of the Code,Binary Beats,2024-04-22 03:17:39.105863,Pop,23875,793,27,363,62929,13828,843,18-24,Brazil,Other,Instagram Ads,4488,157023,1.67
2025-03-23 03:17:39.105863,3,Love in the Time of Data,Soundwave Project,2024-04-22 03:17:39.105863,Electronic,16536,1272,44,1966,77822,22776,393,25-34,Brazil,Female,Twitter Campaign,1705,131551,0.41
2024-08-15 03:17:39.105863,2,Rhythm of the Code,Melodic Minds,2024-04-19 03:17:39.105863,Pop,8089,106,85,559,84798,64882,845,18-24,USA,Other,Facebook Ads,4411,77733,4.24
2023-07-29 03:17:39.105863,8,Harmonic Distortion,Phantom Harmony,2024-05-01 03:17:39.105863,Electronic,11767,788,13,1818,39216,11135,938,25-34,Brazil,Female,Facebook Ads,4253,126522,4.66
2024-09-09 03:17:39.105863,1,Digital Dreams,Deep Bass Nine,2024-04-26 03:17:39.105863,Indie,23948,1677,32,179,84356,99589,176,25-34,UK,Male,Twitter Campaign,6571,42650,0.8
2025-04-18 03:17:39.105863,1,Harmonic Distortion,Melodic Minds,2024-04-23 03:17:39.105863,Ambient,15679,434,68,991,15502,77905,639,25-34,Australia,Male,Facebook Ads,6355,94359,0.37
2024-11-14 03:17:39.105863,3,Echoes of Silence,Soundwave Project,2024-04-28 03:17:39.105863,Pop,28041,841,12,1345,70687,9120,874,45-54,Germany,Other,Facebook Ads,1259,59122,2.24
2024-06-18 03:17:39.105863,6,Echoes of Silence,Phantom Harmony,2024-04-18 03:17:39.105863,Pop,20794,899,18,696,16676,45714,210,45-54,Canada,Other,Facebook Ads,4169,50779,4.5
2024-12-10 03:17:39.105863,10,Retrograde Motion,Vintage Beats,2024-04-29 03:17:39.105863,Indie,11139,1627,34,76,40681,79365,118,35-44,Canada,Male,Twitter Campaign,865,185483,0.87
2023-12-24 03:17:39.105863,7,Bassline Rapture,Deep Bass Nine,2024-05-02 03:17:39.105863,Electronic,29708,923,41,542,71993,58381,853,25-34,Germany,Male,Twitter Campaign,5388,173267,4.02
2025-02-02 03:17:39.105863,3,Echoes of Silence,Future Sounds,2024-04-22 03:17:39.105863,Indie,27563,1733,33,1454,21898,79885,455,45-54,Germany,Other,Twitter Campaign,2245,151099,4.74
2024-05-15 03:17:39.105863,4,Daydreamer's Tune,Future Sounds,2024-04-26 03:17:39.105863,Rock,8238,897,48,294,8735,30415,721,25-34,USA,Male,Facebook Ads,3635,158379,3.32
2025-05-14 03:17:39.105863,7,Rhythm of the Code,Soundwave Project,2024-05-12 03:17:39.105863,Electronic,27844,429,1,446,49080,61377,122,45-54,UK,Male,Spotify Ads,4530,109079,2.51
2023-08-18 03:17:39.105863,4,Harmonic Distortion,Deep Bass Nine,2024-04-21 03:17:39.105863,Indie,9336,1558,85,447,18576,20382,777,35-44,UK,Female,Facebook Ads,874,80641,1.61
2024-03-04 03:17:39.105863,2,Bassline Rapture,Soundwave Project,2024-05-15 03:17:39.105863,Ambient,11020,231,70,1618,53742,96772,853,35-44,UK,Male,YouTube Ads,377,114907,4.78
2023-11-21 03:17:39.105863,4,Nightfall Symphony,Vintage Beats,2024-05-11 03:17:39.105863,Pop,10623,1353,3,2243,66043,5879,348,45-54,France,Other,Spotify Ads,7290,106035,4.09
2023-12-21 03:17:39.105863,7,Retrograde Motion,Deep Bass Nine,2024-05-09 03:17:39.105863,Indie,18957,1037,11,1737,80637,85995,211,45-54,Germany,Other,YouTube Ads,5669,177362,1.8
2024-07-19 03:17:39.105863,9,Digital Dreams,Binary Beats,2024-04-22 03:17:39.105863,Electronic,5720,1133,27,2064,75252,22816,142,45-54,France,Other,Facebook Ads,5139,67557,4.89
2024-10-02 03:17:39.105863,2,Echoes of Tomorrow,Binary Beats,2024-04-26 03:17:39.105863,Rock,22822,1068,61,2810,35151,75134,437,45-54,Australia,Other,Twitter Campaign,3399,38439,1.6
2024-01-25 03:17:39.105863,4,Nightfall Symphony,Orchestra of Lights,2024-05-04 03:17:39.105863,Ambient,20342,628,6,1050,18499,46762,679,18-24,Brazil,Female,Spotify Ads,1223,160884,2.89
2024-08-14 03:17:39.105863,3,Bassline Rapture,Binary Beats,2024-04-23 03:17:39.105863,Ambient,17234,1713,30,2564,6269,19854,211,18-24,Canada,Male,Twitter Campaign,6926,67087,1.37
2025-03-28 03:17:39.105863,6,Echoes of Silence,Melodic Minds,2024-05-06 03:17:39.105863,Rock,2754,477,81,1508,68726,57856,852,45-54,France,Other,Spotify Ads,5675,89684,3.89
2025-03-30 03:17:39.105863,1,Love in the Time of Data,Future Sounds,2024-05-02 03:17:39.105863,Rock,2888,1676,99,1698,10161,94535,325,18-24,Australia,Other,Facebook Ads,4730,121407,3.12
2024-07-20 03:17:39.105863,9,Love in the Time of Data,Melodic Minds,2024-05-07 03:17:39.105863,Ambient,24282,490,19,2199,23293,50035,931,35-44,UK,Female,Twitter Campaign,7324,33584,2.82
2024-06-10 03:17:39.105863,9,Bassline Rapture,Phantom Harmony,2024-05-05 03:17:39.105863,Pop,28289,1237,17,252,97055,87387,194,45-54,Australia,Female,Instagram Ads,3028,56646,3.15
2023-12-07 03:17:39.105863,6,Echoes of Tomorrow,Melodic Minds,2024-04-29 03:17:39.105863,Ambient,9930,266,66,632,97253,90690,157,35-44,Australia,Female,YouTube Ads,3380,80572,4.62
2024-05-30 03:17:39.105863,5,Harmonic Distortion,Future Sounds,2024-04-27 03:17:39.105863,Electronic,22181,126,50,2526,65689,14830,960,25-34,Australia,Male,Instagram Ads,1908,182164,3.89
2023-11-21 03:17:39.105863,8,Harmonic Distortion,Vintage Beats,2024-05-04 03:17:39.105863,Electronic,22529,1062,72,924,86524,55575,112,18-24,Germany,Female,Spotify Ads,3448,153036,3.32
2023-06-15 03:17:39.105863,9,Harmonic Distortion,Binary Beats,2024-04-26 03:17:39.105863,Ambient,16628,363,69,2147,13002,36755,336,45-54,Canada,Female,Twitter Campaign,3870,165237,1.73
2023-07-24 03:17:39.105863,5,Echoes of Tomorrow,Melodic Minds,2024-05-04 03:17:39.105863,Pop,7988,1354,24,2331,53784,61610,467,35-44,Brazil,Male,Instagram Ads,5473,121325,1.88
2023-06-16 03:17:39.105863,7,Echoes of Tomorrow,Phantom Harmony,2024-05-04 03:17:39.105863,Rock,21541,525,58,2291,53642,78447,746,35-44,Brazil,Female,Twitter Campaign,6105,154662,4.08
2025-01-09 03:17:39.105863,10,Nightfall Symphony,Vintage Beats,2024-04-21 03:17:39.105863,Rock,3079,1200,85,773,13306,16033,551,18-24,USA,Other,Facebook Ads,2912,115207,0.21
2024-07-16 03:17:39.105863,6,Echoes of Tomorrow,Binary Beats,2024-05-03 03:17:39.105863,Electronic,18045,895,59,65,9080,27236,632,18-24,UK,Female,Instagram Ads,3022,193954,1.99
2023-12-26 03:17:39.105863,7,Nightfall Symphony,Future Sounds,2024-05-12 03:17:39.105863,Pop,27939,1812,4,1253,98182,9691,364,35-44,Canada,Male,YouTube Ads,6260,195200,1.78
2023-12-20 03:17:39.105863,1,Daydreamer's Tune,Soundwave Project,2024-04-27 03:17:39.105863,Pop,17495,905,75,1809,26566,57339,243,25-34,Australia,Female,Facebook Ads,7185,150131,3.68
2025-01-29 03:17:39.105863,10,Nightfall Symphony,Future Sounds,2024-04-18 03:17:39.105863,Indie,21783,1441,21,2230,39741,87887,915,35-44,France,Male,YouTube Ads,5312,196637,0.61
2023-10-18 03:17:39.105863,2,Harmonic Distortion,Phantom Harmony,2024-04-27 03:17:39.105863,Ambient,6938,1179,84,1626,34893,75262,564,18-24,USA,Male,YouTube Ads,4303,175497,2.99
2024-08-17 03:17:39.105863,10,Nightfall Symphony,Melodic Minds,2024-05-13 03:17:39.105863,Rock,27536,1157,81,500,8166,90219,461,25-34,France,Other,Instagram Ads,3367,98723,2.82
2023-12-02 03:17:39.105863,6,Rhythm of the Code,Melodic Minds,2024-04-28 03:17:39.105863,Electronic,4230,765,49,419,24575,84198,677,35-44,USA,Female,YouTube Ads,6647,165278,1.02
2023-08-22 03:17:39.105863,1,Echoes of Silence,Binary Beats,2024-05-12 03:17:39.105863,Ambient,9335,905,50,499,30893,20479,220,35-44,Australia,Female,Twitter Campaign,976,71619,0.36
2023-08-03 03:17:39.105863,4,Bassline Rapture,Future Sounds,2024-05-15 03:17:39.105863,Ambient,18196,1495,57,1779,1243,96829,126,35-44,France,Other,Instagram Ads,2626,172382,0.76
2023-06-10 03:17:39.105863,10,Bassline Rapture,Soundwave Project,2024-04-19 03:17:39.105863,Pop,28718,697,62,1904,70977,55156,618,45-54,USA,Male,Twitter Campaign,7470,44676,2.25
2024-09-19 03:17:39.105863,5,Echoes of Tomorrow,Melodic Minds,2024-04-28 03:17:39.105863,Rock,8910,1684,59,2724,88594,55451,777,45-54,UK,Other,Facebook Ads,2789,166087,3.13
2023-10-13 03:17:39.105863,8,Daydreamer's Tune,Melodic Minds,2024-05-01 03:17:39.105863,Pop,24177,1886,96,2944,9180,62022,486,18-24,Brazil,Female,Twitter Campaign,4039,67120,0.34
2023-12-23 03:17:39.105863,7,Echoes of Silence,Binary Beats,2024-04-26 03:17:39.105863,Electronic,10479,344,43,1804,7676,21177,330,18-24,Germany,Male,YouTube Ads,257,141859,0.63
2023-06-19 03:17:39.105863,3,Digital Dreams,Vintage Beats,2024-04-21 03:17:39.105863,Indie,3590,750,23,2079,72671,45518,270,45-54,Brazil,Male,Instagram Ads,2278,26806,3.42
2023-05-21 03:17:39.105863,4,Nightfall Symphony,Orchestra of Lights,2024-04-19 03:17:39.105863,Indie,15734,1011,56,2779,4032,76643,224,25-34,Canada,Female,Instagram Ads,5726,167236,3.16
2023-10-01 03:17:39.105863,8,Harmonic Distortion,Vintage Beats,2024-04-24 03:17:39.105863,Pop,15750,1840,12,2582,64937,80693,895,45-54,UK,Female,YouTube Ads,3253,96425,4.15
2024-06-11 03:17:39.105863,4,Rhythm of the Code,Vintage Beats,2024-04-29 03:17:39.105863,Pop,21612,121,63,2777,22534,45479,361,25-34,Brazil,Female,Facebook Ads,6025,70599,0.58
2023-07-26 03:17:39.105863,10,Digital Dreams,Deep Bass Nine,2024-05-11 03:17:39.105863,Pop,21802,1803,22,2263,68088,87815,274,25-34,USA,Male,Facebook Ads,1513,147105,4.72
2023-12-28 03:17:39.105863,6,Echoes of Silence,Binary Beats,2024-05-15 03:17:39.105863,Electronic,19400,1287,40,625,7795,90779,334,18-24,UK,Male,Twitter Campaign,7443,92741,2.91
2023-09-22 03:17:39.105863,1,Daydreamer's Tune,Phantom Harmony,2024-05-14 03:17:39.105863,Pop,4901,713,24,189,65525,91289,611,45-54,Brazil,Female,Facebook Ads,4367,64905,2.32
2023-07-27 03:17:39.105863,5,Love in the Time of Data,Vintage Beats,2024-05-10 03:17:39.105863,Electronic,12270,1365,29,325,32869,73146,320,35-44,Canada,Male,Twitter Campaign,5577,167236,2.14
2024-04-07 03:17:39.105863,9,Harmonic Distortion,Binary Beats,2024-05-16 03:17:39.105863,Electronic,3617,1010,7,88,66843,51263,140,35-44,Germany,Female,Twitter Campaign,2727,53716,2.06
2023-05-23 03:17:39.105863,10,Harmonic Distortion,Binary Beats,2024-05-13 03:17:39.105863,Indie,2499,1514,13,2666,86036,99066,469,18-24,Brazil,Female,Instagram Ads,6384,194543,1.09
2025-05-16 03:17:39.105863,3,Retrograde Motion,Phantom Harmony,2024-05-12 03:17:39.105863,Ambient,28688,1444,54,955,94992,41768,922,18-24,Australia,Other,Instagram Ads,6940,46102,1.85
2023-08-26 03:17:39.105863,3,Echoes of Tomorrow,Phantom Harmony,2024-04-19 03:17:39.105863,Rock,10706,304,37,2067,75207,68993,927,18-24,USA,Female,Twitter Campaign,5343,63356,2.36
2024-03-19 03:17:39.105863,8,Nightfall Symphony,Orchestra of Lights,2024-05-02 03:17:39.105863,Indie,7997,688,75,2341,39731,67687,368,45-54,UK,Male,Instagram Ads,1866,62404,2.13
2024-03-19 03:17:39.105863,9,Bassline Rapture,Melodic Minds,2024-05-09 03:17:39.105863,Electronic,27901,1782,34,2189,12177,78240,333,25-34,USA,Other,Twitter Campaign,643,173612,1.97
2024-04-13 03:17:39.105863,3,Bassline Rapture,Binary Beats,2024-05-02 03:17:39.105863,Rock,1175,660,38,2217,80394,60893,168,18-24,UK,Other,YouTube Ads,6492,78320,3.98
2024-03-18 03:17:39.105863,8,Nightfall Symphony,Phantom Harmony,2024-05-08 03:17:39.105863,Electronic,24977,1561,59,2018,93007,31697,878,45-54,France,Female,Spotify Ads,3716,94192,2.93
2024-09-12 03:17:39.105863,6,Echoes of Silence,Vintage Beats,2024-04-22 03:17:39.105863,Indie,7306,1199,88,2797,14190,56820,549,35-44,Germany,Other,Twitter Campaign,1241,146416,4.83
2023-11-28 03:17:39.105863,1,Nightfall Symphony,Melodic Minds,2024-04-25 03:17:39.105863,Rock,3169,640,65,430,2723,41657,171,18-24,Germany,Other,Instagram Ads,6267,192337,2.09
2023-12-20 03:17:39.105863,10,Retrograde Motion,Binary Beats,2024-05-01 03:17:39.105863,Electronic,19370,1681,42,2379,68695,18385,129,25-34,Germany,Other,Instagram Ads,6073,58751,3.5
2023-05-20 03:17:39.105863,10,Digital Dreams,Phantom Harmony,2024-05-01 03:17:39.105863,Pop,18614,1267,63,1629,76898,49535,556,25-34,Australia,Female,Facebook Ads,6347,98616,3.0
2023-06-30 03:17:39.105863,9,Retrograde Motion,Vintage Beats,2024-04-23 03:17:39.105863,Indie,6263,1532,90,1216,62975,69568,236,25-34,Germany,Other,Instagram Ads,1301,132229,4.05
2024-10-25 03:17:39.105863,5,Love in the Time of Data,Phantom Harmony,2024-05-11 03:17:39.105863,Ambient,23538,659,38,1677,64616,29253,747,18-24,Australia,Other,Facebook Ads,738,147314,1.8
2024-05-22 03:17:39.105863,7,Echoes of Tomorrow,Melodic Minds,2024-04-20 03:17:39.105863,Rock,27169,263,31,2238,69621,66480,138,45-54,France,Other,Facebook Ads,4599,166221,2.55
2023-10-18 03:17:39.105863,7,Daydreamer's Tune,Binary Beats,2024-04-27 03:17:39.105863,Electronic,4951,1218,47,1369,20337,69621,115,45-54,Canada,Male,YouTube Ads,571,164350,0.18
2024-02-11 03:17:39.105863,10,Harmonic Distortion,Phantom Harmony,2024-05-01 03:17:39.105863,Rock,25423,1720,34,1775,55891,46457,844,45-54,Canada,Female,Spotify Ads,3536,35210,2.95
2023-11-22 03:17:39.105863,2,Daydreamer's Tune,Vintage Beats,2024-05-08 03:17:39.105863,Rock,12351,148,92,2746,81570,94686,131,25-34,France,Female,YouTube Ads,3236,111481,4.75
2023-12-29 03:17:39.105863,2,Nightfall Symphony,Phantom Harmony,2024-04-28 03:17:39.105863,Pop,28610,1177,86,1139,11972,53292,318,45-54,France,Female,Facebook Ads,1106,54023,0.51
2024-07-14 03:17:39.105863,4,Echoes of Silence,Future Sounds,2024-04-25 03:17:39.105863,Electronic,3318,1398,4,2460,38402,27844,693,25-34,USA,Male,Facebook Ads,5380,94253,1.16
2024-05-27 03:17:39.105863,10,Harmonic Distortion,Phantom Harmony,2024-05-10 03:17:39.105863,Indie,3918,1639,93,1152,67545,80030,155,35-44,Canada,Female,Instagram Ads,252,140124,2.64
2024-08-05 03:17:39.105863,5,Love in the Time of Data,Melodic Minds,2024-04-29 03:17:39.105863,Electronic,22915,1250,53,1050,24839,49897,685,45-54,France,Male,Spotify Ads,531,115341,4.68
2025-04-05 03:17:39.105863,3,Love in the Time of Data,Binary Beats,2024-05-13 03:17:39.105863,Indie,21614,1713,24,2583,60187,28484,415,25-34,USA,Male,Spotify Ads,2513,99729,2.35
2025-03-22 03:17:39.105863,3,Echoes of Silence,Phantom Harmony,2024-04-18 03:17:39.105863,Ambient,4458,292,98,2652,4597,92084,886,18-24,France,Other,Spotify Ads,4260,195480,1.35
2024-05-22 03:17:39.105863,3,Love in the Time of Data,Binary Beats,2024-04-25 03:17:39.105863,Pop,29777,898,68,254,82158,43303,487,45-54,USA,Male,Twitter Campaign,3013,174413,3.64
2023-06-26 03:17:39.105863,10,Echoes of Tomorrow,Binary Beats,2024-05-07 03:17:39.105863,Indie,7743,1680,62,1840,82913,20238,585,45-54,USA,Female,Instagram Ads,5954,67398,2.14
2024-10-22 03:17:39.105863,4,Harmonic Distortion,Melodic Minds,2024-04-21 03:17:39.105863,Electronic,2540,1467,16,840,64752,18354,670,18-24,Canada,Other,Instagram Ads,2501,158474,1.77
2025-04-16 03:17:39.105863,3,Bassline Rapture,Binary Beats,2024-05-09 03:17:39.105863,Indie,23364,850,80,2219,31723,48267,768,45-54,UK,Male,YouTube Ads,6293,39870,3.9
2024-04-12 03:17:39.105863,5,Nightfall Symphony,Soundwave Project,2024-04-26 03:17:39.105863,Indie,3019,1277,52,2303,62936,68470,691,45-54,France,Male,Twitter Campaign,4900,127826,2.22
2025-05-06 03:17:39.105863,6,Bassline Rapture,Vintage Beats,2024-04-24 03:17:39.105863,Pop,9052,1267,22,2886,65279,57674,473,25-34,France,Other,Spotify Ads,3167,114114,2.92
2025-05-13 03:17:39.105863,1,Echoes of Tomorrow,Vintage Beats,2024-05-07 03:17:39.105863,Pop,28216,389,67,1694,47164,25503,963,25-34,USA,Male,Facebook Ads,1789,192765,3.93
2024-09-20 03:17:39.105863,9,Harmonic Distortion,Binary Beats,2024-04-20 03:17:39.105863,Rock,15874,705,61,2783,10625,32476,893,18-24,Brazil,Female,YouTube Ads,5031,61901,2.48
2023-12-28 03:17:39.105863,6,Love in the Time of Data,Deep Bass Nine,2024-04-28 03:17:39.105863,Ambient,8110,1443,54,879,44147,69132,571,45-54,France,Female,Instagram Ads,302,63301,2.58
